0	0	0	1	3
1	0	0	1	10
2	0	0	1	7
3	0	0	1	7
4	0	0	1	8
5	0	0	1	9
6	0	0	1	9
7	0	0	1	6
8	0	0	1	11
11	0	0	1	13
12	0	0	1	11
13	0	0	1	7
14	0	0	1	8
15	0	0	1	12
19	0	0	1	7
0	1	0	1	4
1	1	0	1	5
2	1	0	2	10
3	1	0	3	13
4	1	0	1	9
7	1	0	2	10
8	1	0	3	7
9	1	0	1	13
10	1	0	1	6
11	1	0	1	6
12	1	0	16	1
13	1	0	17	10
16	1	0	1	9
17	1	0	1	7
19	1	0	1	7
0	2	0	1	10
1	2	0	1	4
2	2	0	7	5
3	2	1	8	13
4	2	1	1	8
5	2	1	1	12
6	2	1	1	9
7	2	1	7	1
8	2	1	8	7
9	2	1	1	9
12	2	1	21	12
13	2	1	22	1
16	2	1	14	1
17	2	1	15	7
18	2	1	1	11
19	2	1	1	8
0	3	0	1	12
1	3	0	1	8
2	3	1	1	8
3	3	1	16	11
4	3	1	17	13
5	3	1	2	14
6	3	1	3	7
7	3	1	1	7
8	3	1	1	13
9	3	1	14	14
10	3	0	15	10
11	3	1	1	8
12	3	1	1	7
13	3	1	1	13
14	3	1	2	8
15	3	1	3	1
16	3	0	19	18
17	3	0	20	19
18	3	1	1	7
19	3	1	1	11
0	4	0	1	12
1	4	0	2	11
2	4	1	3	9
3	4	1	21	13
4	4	1	22	9
5	4	1	7	1
6	4	1	8	6
8	4	1	1	12
9	4	1	19	1
10	4	1	20	11
12	4	1	1	11
13	4	1	6	1
14	4	1	7	1
15	4	1	8	6
16	4	1	1	9
18	4	1	1	6
19	4	1	1	9
0	5	0	1	11
1	5	0	7	11
2	5	1	8	8
4	5	1	1	7
5	5	1	4	14
6	5	0	5	10
7	5	1	2	6
8	5	1	3	1
11	5	1	2	8
12	5	1	3	6
13	5	1	4	1
14	5	1	5	1
16	5	1	1	11
17	5	1	14	12
18	5	1	15	6
19	5	1	1	14
0	6	0	1	13
1	6	0	14	7
2	6	1	15	6
3	6	1	1	8
5	6	0	9	18
6	6	0	10	19
7	6	1	7	6
8	6	1	8	12
9	6	1	1	12
10	6	1	6	12
11	6	1	7	11
12	6	1	8	11
13	6	0	9	4
14	6	0	10	5
15	6	1	1	6
17	6	1	19	8
18	6	1	20	1
19	6	1	1	12
0	7	0	1	9
1	7	0	19	14
2	7	1	20	8
3	7	1	1	13
4	7	1	6	14
5	7	1	12	6
6	7	1	13	1
7	7	1	1	13
8	7	1	2	13
9	7	1	3	7
10	7	1	1	6
11	7	1	1	8
12	7	1	1	13
13	7	0	2	18
14	7	0	3	19
15	7	0	1	10
17	7	1	6	6
18	7	1	6	1
19	7	1	1	12
0	8	0	1	13
1	8	0	1	6
2	8	1	1	6
3	8	1	1	12
4	8	1	1	12
6	8	1	1	7
7	8	1	1	6
8	8	1	7	6
9	8	1	8	11
10	8	1	16	13
11	8	1	17	13
12	8	1	1	13
13	8	1	7	13
14	8	1	8	1
16	8	1	6	12
17	8	1	1	12
18	8	1	1	13
19	8	1	1	12
0	9	0	1	13
1	9	0	2	6
2	9	1	3	8
3	9	1	1	8
4	9	1	2	6
5	9	1	3	8
6	9	1	1	8
7	9	1	1	6
8	9	1	1	12
9	9	0	1	10
10	9	1	21	8
11	9	1	22	1
12	9	1	14	6
13	9	1	15	1
14	9	1	1	6
15	9	1	1	6
16	9	1	1	12
17	9	1	1	6
18	9	1	1	14
19	9	1	1	6
0	10	0	1	13
1	10	0	7	10
2	10	1	8	6
3	10	1	6	1
4	10	1	7	1
5	10	1	8	14
6	10	1	1	7
7	10	1	1	9
8	10	1	1	6
9	10	1	1	8
10	10	1	1	14
12	10	1	19	13
13	10	1	20	9
14	10	1	14	9
15	10	1	15	14
16	10	1	1	12
17	10	1	11	11
18	10	1	1	11
19	10	1	1	7
0	11	0	1	9
1	11	0	1	9
3	11	1	16	1
4	11	1	17	8
5	11	0	1	18
6	11	0	2	19
7	11	1	3	9
9	11	1	1	7
10	11	1	16	13
11	11	1	17	12
12	11	1	12	12
13	11	1	13	14
14	11	1	19	12
15	11	1	20	7
16	11	1	1	11
17	11	1	1	9
18	11	0	1	10
19	11	1	1	7
0	12	0	1	9
1	12	0	4	1
2	12	1	5	6
3	12	1	21	7
4	12	1	22	12
6	12	1	7	9
7	12	1	8	13
9	12	1	1	14
10	12	1	21	14
11	12	1	22	13
12	12	1	1	6
13	12	1	1	7
15	12	0	1	10
16	12	0	1	17
17	12	1	6	11
18	12	1	1	7
0	13	0	1	9
1	13	0	9	1
2	13	1	10	1
3	13	1	1	11
4	13	1	1	7
5	13	1	1	8
6	13	1	1	11
8	13	0	1	4
9	13	0	1	5
10	13	1	2	1
11	13	1	3	1
12	13	1	1	13
13	13	1	1	13
14	13	0	1	10
15	13	1	1	9
16	13	1	1	7
17	13	1	12	9
18	13	1	13	9
19	13	1	1	7
0	14	0	2	11
1	14	0	3	1
2	14	1	1	6
3	14	1	1	13
4	14	1	1	12
5	14	1	2	1
6	14	1	3	12
8	14	0	1	18
9	14	0	6	19
10	14	0	7	10
11	14	1	8	13
12	14	1	1	14
13	14	1	1	8
14	14	1	2	9
15	14	1	3	1
17	14	1	1	11
18	14	1	1	7
19	14	1	1	11
